component,relative_path,expected_kind,provenance,notes
construction-ai,construction-ai,directory,LOCAL_SOURCE_VERIFIED,Tracked local validation and demo service source.
mobile-smartcontractor,mobile/smartcontractor,directory,LOCAL_SOURCE_VERIFIED,Tracked React Native application source.
core-contracts,contracts/gcsc-core,directory,LOCAL_SOURCE_VERIFIED,Tracked local proton-tsc contract source.
meme-contracts,contracts/gcsc-meme,directory,LOCAL_SOURCE_VERIFIED,Tracked local auxiliary contract source.
smartcontractor-mobile,smartcontractor-mobile,directory,LOCAL_SOURCE_VERIFIED,Tracked mobile-related source retained for provenance only.
xprclaw,xprclaw,directory,LOCAL_SOURCE_VERIFIED,Tracked local project component; runtime status is outside this inventory.
gcsctoken111,gcsctoken111,directory,LOCAL_SOURCE_VERIFIED,Tracked local token-contract source; deployment state remains unverified.
gcscbuild11,gcscbuild11,directory,EXTERNAL_SOURCE_NOT_PRESENT,No tracked root path is available for source verification.
collected-artifacts,_collected,directory,EXTERNAL_SOURCE_NOT_PRESENT,No tracked root path is available for source verification.
legacy-v3-service,v3,directory,EXTERNAL_SOURCE_NOT_PRESENT,No tracked root path is available for source verification.
