state_code,state_name,contractor_license_required,home_improvement_contract_rules,consumer_lending_license_risk,commercial_lending_license_risk,loan_broker_or_mca_risk,escrow_rules_risk,escrow_backed_advance_risk,assignment_of_payment_rights_risk,insurance_claim_advance_risk,assignment_of_benefits_risk,public_adjuster_risk,money_transmitter_risk,token_collateral_risk,digital_asset_rules,usury_or_interest_cap_notes,required_disclosures,cooling_off_or_cancellation_rules,e_signature_notes,recommended_product_status,blocked_live_actions,attorney_questions,official_sources
AK,Alaska,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 36%, 24%, 36%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See AK.md Section 9,http://www.akleg.gov/basis/aac.asp#3.26; https://www.commerce.alaska.gov/web/ins; https://www.commerce.alaska.gov/web/ins/Licensees/LicensesWithSpecialRequirements; https://www.akleg.gov/basis/statutes.asp#06.55; https://law.justia.com/codes/alaska/title-13/chapter-63/
AL,Alabama,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See AL.md Section 9,https://law.justia.com/codes/alabama/title-8/chapter-7a/; https://www.propertyinsurancecoveragelaw.com/blog/public-adjusting-is-illegal-in-alabama/; https://www.alfainternational.com/compendium/insurance-law/alabama/; https://www.aldoi.gov; https://www.robinskaplan.com/newsroom/insights/claims-handling-practices-alabama
AR,Arkansas,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 17%, 17%, 17%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See AR.md Section 9,https://law.justia.com/codes/arkansas/title-23/subtitle-3/chapter-66/; https://www.law.cornell.edu/regulations/arkansas/054-00-15-Ark-Code-R-005; https://law.justia.com/codes/arkansas/title-23/subtitle-3/chapter-64/; https://law.justia.com/codes/arkansas/title-23/subtitle-3/chapter-99/subchapter-13/; https://labor.arkansas.gov/licensing/arkansas-state-board-of-collection-agencies/
AZ,Arizona,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 24%, 20%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See AZ.md Section 9,https://nipr.com/licensing-center; https://www.ilsainc.com/bulletin/; https://www.azleg.gov/legtext/54leg/2r/bills/hb2441p.htm; https://www.azleg.gov/arsDetail/?title=32; https://difi.az.gov
CA,California,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file; rates mentioned: 30%,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing; crypto_custody; token_transfer,See CA.md Section 9,https://www.insurance.ca.gov/01-consumers/130-laws-regs-hearings/05-CCR/fair-claims-regs.cfm; https://www.insurance.ca.gov; https://www.insurance.ca.gov/0250-insurers/0300-insurers/0200-bulletins/bulletin-notices-commiss-opinion/upload/2025Notice-SigCALaw-ResIns-DeclSOE.pdf; https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202320240AB1934; https://dfpi.ca.gov/regulated-industries/digital-financial-assets/digital-financial-assets-law-frequently-asked-questions/
CO,Colorado,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 12%, 12%, 36%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See CO.md Section 9,https://leg.colorado.gov/sites/default/files/images/olls/crs2024-title-10.pdf; https://doi.colorado.gov; https://www.investorlawyers.com/files/colorado_securities_act_august_2018.pdf; https://doi.colorado.gov.; https://leg.colorado.gov/bill_files/90823/download
CT,Connecticut,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 12%, 12%, 8%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See CT.md Section 9,https://www.cga.ct.gov/2025/ba/pdf/2025HB-06967-R000092-BA.pdf; https://portal.ct.gov/dcp/Trade-Practices-Division/Home-Improvement-for-Consumers; https://portal.ct.gov/DOB/Consumer-Credit-Licensing-Info/Consumer-Credit-Licensing-Information/Virtual-Currency-MTRA-FAQs; https://portal.ct.gov/DOB/Consumer-Credit-Licensing-Info/Consumer-Credit-Licensing-Information/Small-Loan-Company-Licensing-Information; https://portal.ct.gov/dcp/license-services-division/all-license-applications/home-improvement-applications
DE,Delaware,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,See state file,COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See DE.md Section 9,https://insurance.delaware.gov; https://banking.delaware.gov; https://delcode.delaware.gov/title18/c048/index.html; https://attorneygeneral.delaware.gov; https://delcode.delaware.gov/title5/c023/index.html
FL,Florida,Local-level only,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 18%, 18%, 18%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,Blocked until licensed attorney review,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See FL.md Section 9,https://www.flsenate.gov/Laws/Statutes/2024/Chapter626/PART_VI; https://www.flsenate.gov/laws/statutes/2021/489.147; https://www.leg.state.fl.us/statutes; https://floir.gov; https://www.myfloridacfo.com
GA,Georgia,Yes - state license required,Yes - varies by state; see state file,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,See state file,"See state file; rates mentioned: 60%, 50%, 20%",COUNSEL_APPROVED_TEXT_REQUIRED,Varies by state,ESIGN and UETA apply federally,High legal review needed,live_loan_creation; token_collateral_lock; liquidation; repayment_routing,See GA.md Section 9,https://dbf.georgia.gov; https://oci.georgia.gov; https://rules.sos.ga.gov/gac/120-2-52; https://sos.ga.gov; https://law.justia.com/codes/georgia/title-7
